district,year,week_of_outbreak,dengue_cases,malaria_cases,deaths,temp_c,rainfall,humidity,lai,population,pop_density,urban_percent,Latitude,Longitude,mon,season_code,dengue_lag_1,malaria_lag_1,temp_lag_1,rainfall_lag_1,humidity_lag_1,dengue_lag_2,malaria_lag_2,temp_lag_2,rainfall_lag_2,humidity_lag_2,dengue_lag_3,malaria_lag_3,temp_lag_3,rainfall_lag_3,humidity_lag_3,risk_index,malaria_trend,malaria_risk_binary
Ahmednagar,2012,1st week,12,0,0.0,0.6350917839957231,1.292650182529869e-05,0.2623452399558872,0.1290322580645161,4543159,0.175,0.1416234887737479,19.1627725,74.8580243,12,0,9.0,0.0,0.6821046455842067,1.9754844798369525e-05,0.2219883903072233,10.0,0.0,0.6536420938790006,0.0004008782872414,0.2500159144687407,0.0,30.0,0.8690458755225646,0.0077316639815117,0.1010550798720635,0.1656500155449853,0.0,0
Ahmednagar,2012,27th week,0,159,0.0,0.7430048119764749,0.0831508192891744,0.2604839417452601,0.064516129032258,4543159,0.175,0.1416234887737479,19.1627725,74.8580243,6,2,12.0,0.0,0.6267331095218135,1.292650182529869e-05,0.2623452399558872,9.0,0.0,0.6821046455842067,1.9754844798369525e-05,0.2291140153458213,10.0,0.0,0.6536420938790006,0.0004008782872414,0.2500159144687407,0.1714991909461932,159.0,1
Ahmednagar,2012,41st week,283,0,0.0,0.6180716449830692,0.0888636096903366,0.3555616214137198,0.2903225806451612,4543159,0.175,0.1416234887737479,19.1627725,74.8580243,9,2,0.0,159.0,0.7332258548046694,0.0831508192891744,0.2604839417452601,12.0,0.0,0.6267331095218135,1.292650182529869e-05,0.2691012461163697,9.0,0.0,0.6821046455842067,1.9754844798369525e-05,0.2291140153458213,0.1755263396842284,-159.0,0
Ahmednagar,2012,42nd week,37,0,0.0,0.6032792728568888,0.0549778187022801,0.3353212529079993,0.2903225806451612,4543159,0.175,0.1416234887737479,19.1627725,74.8580243,9,2,283.0,0.0,0.6099369787629152,0.0888636096903366,0.3555616214137198,0.0,159.0,0.7332258548046694,0.0831508192891744,0.2672569950975437,12.0,0.0,0.6267331095218135,1.292650182529869e-05,0.2691012461163697,0.1723427039634058,0.0,0
Ahmednagar,2012,49th week,11,0,0.0,0.6550377250044552,0.0001393814833205,0.2481122532274904,0.1612903225806451,4543159,0.175,0.1416234887737479,19.1627725,74.8580243,11,3,37.0,0.0,0.5953392944384283,0.0549778187022801,0.3353212529079993,283.0,0.0,0.6099369787629152,0.0888636096903366,0.3614638806976156,0.0,159.0,0.7332258548046694,0.0831508192891744,0.2672569950975437,0.1651170584125344,0.0,0
Ahmednagar,2013,20th week,13,0,0.0,0.9726430226341114,0.000147445648763,0.0196483674516493,0.1612903225806451,4543159,0.175,0.1416234887737479,19.1627725,74.8580243,4,1,11.0,0.0,0.6464165347302012,0.0001393814833205,0.2481122532274904,37.0,0.0,0.5953392944384283,0.0549778187022801,0.3414088889585371,283.0,0.0,0.6099369787629152,0.0888636096903366,0.3614638806976156,0.1564182165933648,0.0,0
Ahmednagar,2013,40th week,27,0,0.0,0.690719123150953,0.0100135413367918,0.2314433094327229,0.3225806451612903,4543159,0.175,0.1416234887737479,19.1627725,74.8580243,9,2,13.0,0.0,0.959841713263728,0.000147445648763,0.0196483674516493,11.0,0.0,0.6464165347302012,0.0001393814833205,0.2549986159602173,37.0,0.0,0.5953392944384283,0.0549778187022801,0.3414088889585371,0.1651854558967037,0.0,0
Ahmednagar,2013,41st week,17,0,0.0,0.5732489752272324,0.2540823519479941,0.5383748937924108,0.3548387096774194,4543159,0.175,0.1416234887737479,19.1627725,74.8580243,9,2,27.0,0.0,0.6816283169890487,0.0100135413367918,0.2314433094327229,13.0,0.0,0.959841713263728,0.000147445648763,0.0286271770895613,11.0,0.0,0.6464165347302012,0.0001393814833205,0.2549986159602173,0.1942523078243742,0.0,0
Ahmednagar,2013,42nd week,18,0,0.0,0.5951702013901263,0.0444423280568581,0.331553186982754,0.4193548387096774,4543159,0.175,0.1416234887737479,19.1627725,74.8580243,10,3,17.0,0.0,0.5657042365025712,0.2540823519479941,0.5383748937924108,27.0,0.0,0.6816283169890487,0.0100135413367918,0.2384823390945691,13.0,0.0,0.959841713263728,0.000147445648763,0.0286271770895613,0.1714490170899422,0.0,0
Ahmednagar,2013,45th week,22,0,0.0,0.5951702013901263,0.0444423280568581,0.331553186982754,0.4193548387096774,4543159,0.175,0.1416234887737479,19.1627725,74.8580243,10,3,18.0,0.0,0.5873369494171724,0.0444423280568581,0.331553186982754,17.0,0.0,0.5657042365025712,0.2540823519479941,0.5426028093842323,27.0,0.0,0.6816283169890487,0.0100135413367918,0.2384823390945691,0.1714490170899422,0.0,0
Ahmednagar,2013,47th week,79,0,1.0,0.6662805204063446,0.0109590239426897,0.2498850142837217,0.3225806451612903,4543159,0.175,0.1416234887737479,19.1627725,74.8580243,9,2,22.0,0.0,0.5873369494171724,0.0444423280568581,0.331553186982754,18.0,0.0,0.5873369494171724,0.0444423280568581,0.3376753338613688,17.0,0.0,0.5657042365025712,0.2540823519479941,0.5426028093842323,0.1659550021130303,0.0,0
Ahmednagar,2013,49th week,15,0,1.0,0.6429335234361075,1.098266696435152e-05,0.2567024671775503,0.2580645161290322,4543159,0.175,0.1416234887737479,19.1627725,74.8580243,11,3,79.0,0.0,0.6575113596035633,0.0109590239426897,0.2498850142837217,22.0,0.0,0.5873369494171724,0.0444423280568581,0.3376753338613688,18.0,0.0,0.5873369494171724,0.0444423280568581,0.3376753338613688,0.1654350124125812,0.0,0
