district,year,week_of_outbreak,dengue_cases,malaria_cases,deaths,temp_c,rainfall,humidity,lai,population,pop_density,urban_percent,Latitude,Longitude,mon,season_code,dengue_lag_1,malaria_lag_1,temp_lag_1,rainfall_lag_1,humidity_lag_1,dengue_lag_2,malaria_lag_2,temp_lag_2,rainfall_lag_2,humidity_lag_2,dengue_lag_3,malaria_lag_3,temp_lag_3,rainfall_lag_3,humidity_lag_3,risk_index
Ahmednagar,2012,1st week,12,0,0.0,0.6350917839957231,1.292650182529869e-05,0.26234523995588727,0.12903225806451613,4543159,0.17500000000000002,0.1416234887737479,19.1627725,74.8580243,12,0,9.0,0.0,0.6821046455842067,1.9754844798369525e-05,0.22198839030722337,10.0,0.0,0.6536420938790006,0.0004008782872414688,0.2500159144687407,0.0,30.0,0.8690458755225646,0.007731663981511754,0.1010550798720635,0.1656500155449853
Ahmednagar,2012,27th week,0,159,0.0,0.7430048119764749,0.08315081928917445,0.2604839417452601,0.06451612903225806,4543159,0.17500000000000002,0.1416234887737479,19.1627725,74.8580243,6,2,12.0,0.0,0.6267331095218135,1.292650182529869e-05,0.26234523995588727,9.0,0.0,0.6821046455842067,1.9754844798369525e-05,0.22911401534582132,10.0,0.0,0.6536420938790006,0.0004008782872414688,0.2500159144687407,0.17149919094619323
Ahmednagar,2012,41st week,283,0,0.0,0.6180716449830692,0.08886360969033667,0.35556162141371983,0.29032258064516125,4543159,0.17500000000000002,0.1416234887737479,19.1627725,74.8580243,9,2,0.0,159.0,0.7332258548046694,0.08315081928917445,0.2604839417452601,12.0,0.0,0.6267331095218135,1.292650182529869e-05,0.26910124611636976,9.0,0.0,0.6821046455842067,1.9754844798369525e-05,0.22911401534582132,0.1755263396842284
Ahmednagar,2012,42nd week,37,0,0.0,0.6032792728568888,0.05497781870228011,0.33532125290799936,0.29032258064516125,4543159,0.17500000000000002,0.1416234887737479,19.1627725,74.8580243,9,2,283.0,0.0,0.6099369787629152,0.08886360969033667,0.35556162141371983,0.0,159.0,0.7332258548046694,0.08315081928917445,0.2672569950975437,12.0,0.0,0.6267331095218135,1.292650182529869e-05,0.26910124611636976,0.17234270396340587
Ahmednagar,2012,49th week,11,0,0.0,0.6550377250044552,0.00013938148332054033,0.2481122532274904,0.16129032258064516,4543159,0.17500000000000002,0.1416234887737479,19.1627725,74.8580243,11,3,37.0,0.0,0.5953392944384283,0.05497781870228011,0.33532125290799936,283.0,0.0,0.6099369787629152,0.08886360969033667,0.3614638806976156,0.0,159.0,0.7332258548046694,0.08315081928917445,0.2672569950975437,0.16511705841253446
Ahmednagar,2013,20th week,13,0,0.0,0.9726430226341114,0.00014744564876303275,0.019648367451649388,0.16129032258064516,4543159,0.17500000000000002,0.1416234887737479,19.1627725,74.8580243,4,1,11.0,0.0,0.6464165347302012,0.00013938148332054033,0.2481122532274904,37.0,0.0,0.5953392944384283,0.05497781870228011,0.34140888895853716,283.0,0.0,0.6099369787629152,0.08886360969033667,0.3614638806976156,0.15641821659336483
Ahmednagar,2013,40th week,27,0,0.0,0.690719123150953,0.010013541336791817,0.23144330943272298,0.32258064516129037,4543159,0.17500000000000002,0.1416234887737479,19.1627725,74.8580243,9,2,13.0,0.0,0.959841713263728,0.00014744564876303275,0.019648367451649388,11.0,0.0,0.6464165347302012,0.00013938148332054033,0.2549986159602173,37.0,0.0,0.5953392944384283,0.05497781870228011,0.34140888895853716,0.16518545589670372
Ahmednagar,2013,41st week,17,0,0.0,0.5732489752272324,0.25408235194799417,0.5383748937924108,0.3548387096774194,4543159,0.17500000000000002,0.1416234887737479,19.1627725,74.8580243,9,2,27.0,0.0,0.6816283169890487,0.010013541336791817,0.23144330943272298,13.0,0.0,0.959841713263728,0.00014744564876303275,0.028627177089561362,11.0,0.0,0.6464165347302012,0.00013938148332054033,0.2549986159602173,0.19425230782437422
Ahmednagar,2013,42nd week,18,0,0.0,0.5951702013901263,0.04444232805685815,0.331553186982754,0.4193548387096774,4543159,0.17500000000000002,0.1416234887737479,19.1627725,74.8580243,10,3,17.0,0.0,0.5657042365025712,0.25408235194799417,0.5383748937924108,27.0,0.0,0.6816283169890487,0.010013541336791817,0.23848233909456917,13.0,0.0,0.959841713263728,0.00014744564876303275,0.028627177089561362,0.17144901708994223
Ahmednagar,2013,45th week,22,0,0.0,0.5951702013901263,0.04444232805685815,0.331553186982754,0.4193548387096774,4543159,0.17500000000000002,0.1416234887737479,19.1627725,74.8580243,10,3,18.0,0.0,0.5873369494171724,0.04444232805685815,0.331553186982754,17.0,0.0,0.5657042365025712,0.25408235194799417,0.5426028093842323,27.0,0.0,0.6816283169890487,0.010013541336791817,0.23848233909456917,0.17144901708994223
